sample_id,K,B,C,WM,WUM,WLM,FC,CG,CS,NSE,KGE,NSE_yearly_mean,KGE_yearly_mean
86,0.5300355844500932,0.2260232438192904,0.10359452119045716,152.51980661410136,16.447116499531845,55.389921895407696,10.735268225874652,0.8272021109298864,0.19398247496602147,0.746012596878233,0.8048036530128475,0.652227252189648,0.7033259728739709
87,0.6174658229632698,0.28609354985437047,0.0826317967211522,130.40358621203075,18.111968916866363,58.340446981099035,9.23106862739774,0.890223808337278,0.21058871428806522,0.7662781088305891,0.8391638918165363,0.6865674978023198,0.7419533113412646
88,0.7586840938453253,0.2862221824363207,0.07821170037078658,102.34380374237817,21.39505068932103,74.83053863154828,8.558320525096649,0.7092363669900986,0.23817278642279244,0.77901550839322,0.8319694313437136,0.7087067670876303,0.7340366192301448
89,0.7546500059306815,0.24640212195321082,0.08736017079440363,116.95339205489726,16.27971231829082,50.86579406654914,8.693812941462102,0.7963636714791252,0.22742741874201994,0.7779770238231472,0.8405027291827845,0.7061640101937954,0.742841133388543
90,0.6977029371831796,0.283076209290336,0.06298966843532175,138.4612554015598,23.76158094474761,59.82147468512459,10.26229669348864,0.9013721350778228,0.1470115892947652,0.7490398925313944,0.8262743360591297,0.6613446381901361,0.7336109295657542
91,0.5534428360377543,0.373297646091663,0.08333965743340387,103.64043018985937,21.494733766568253,44.890648139160945,10.874082377807092,0.7835032061273203,0.204358642764859,0.7608338166326998,0.8142873431415729,0.6766766319260029,0.7130693722864649
92,0.5331618145069774,0.2946027000749638,0.08496791346194335,122.13915690008334,25.2730704943958,64.63833446693896,11.741711152820368,0.7250521396091875,0.17229847252024605,0.7330502740198861,0.7817841094467058,0.6326171904054567,0.6765079715532406
93,0.5131942998176723,0.3618291415739082,0.10206782406408726,151.63913997842997,18.321698318113125,45.65480947180248,11.168667478329187,0.7662327979002163,0.17004094490054017,0.7328061550001047,0.7801657819848851,0.6319597435657975,0.6768784836200852
94,0.5088699632900269,0.2855548210003319,0.07295872672088448,115.88423930881252,16.005230072535053,43.18034397011493,12.331792497058107,0.9334477026774186,0.1849537226636416,0.7569771257587488,0.8348600664506376,0.6718885668126975,0.7457758820572127
95,0.5447630116528173,0.2167883360218812,0.1028100268822131,119.71692142652606,23.487991797226325,42.09012105034591,12.800726113522089,0.7528565146829647,0.1637937262354742,0.737426761443395,0.7901059290130195,0.6388377641303082,0.6863617626057512
96,0.5783101441420522,0.3320630317551505,0.09649652535665712,123.55085574205987,14.410632376531003,57.817475633576436,11.21440918305712,0.8111907732968169,0.2419585140403105,0.7904574474933964,0.8531714178227836,0.7249412638800987,0.7581337577742957
97,0.44756483762927385,0.347030702626794,0.09352416968430176,100.99547373024743,23.94917980351444,73.96460535117954,9.183900589352897,0.974052497430744,0.22480729242919562,0.7409426843916171,0.8180660232530741,0.6475280447451023,0.726602585181007
98,0.5142684385828096,0.3026381640406487,0.08302001347184865,142.49105992650271,24.856130943317215,66.33049086722227,8.970144683551217,0.8267854570022053,0.1711224925954892,0.7121612810477007,0.7694923835598162,0.6000159276944504,0.6630098939181448
99,0.487750698930646,0.29813738092883024,0.06587919864412474,147.25652011329225,19.66884162218667,66.4025670385436,12.216435461187464,0.7438273292073885,0.17827381079143434,0.7368828413530757,0.7815072339020838,0.6376335496057243,0.6779833139365115
100,0.51155231250932,0.37799078972017064,0.09909131448747105,118.30524275015065,17.923730836212975,58.01620863835388,8.880803631452569,0.6563846257786093,0.23851360232653435,0.7341537292479988,0.7815180432265445,0.6356960342394126,0.6711667088388322
101,0.625818068555078,0.28702362140478405,0.07776557413604478,132.06182702788368,24.76130369772988,76.60973127253298,10.684561588159129,0.7176943933245166,0.14500121832193108,0.7207882839337769,0.7733780462629463,0.6160316801768491,0.6688871378440406
102,0.5815090985897777,0.33400475848618744,0.08794340652211656,126.30817231452636,23.11441383563127,53.25669803536208,12.315910504021815,0.7314590659568564,0.17847269182712477,0.7572559801208631,0.8079987948485783,0.6712193928066791,0.7069156750889587
103,0.6648167235452499,0.2451825532202871,0.09398420239426977,131.5322113762908,25.66911523567994,49.39561823631293,9.707096038382751,0.9203291285678564,0.20240293925562572,0.7712929766215573,0.8539877366500763,0.6954715914259928,0.7610683822204376
104,0.7168950858831284,0.3002088188540457,0.08630165911693713,119.45874502267603,18.45570940048407,55.474237439231906,10.703775577957273,0.8908357619249244,0.1712423258110739,0.7703882317576917,0.8470014065082049,0.6938343033525545,0.7561591520483174
105,0.5240668312207157,0.3891562983288171,0.06542781991991975,147.73302854057437,21.028210896379107,72.00648651739424,7.988535912433288,0.8162844072330165,0.2402362149634343,0.7578740730734063,0.8121777120970235,0.673026160370029,0.7095429852828772
106,0.4281133676423884,0.2142333407501441,0.0615267326455921,114.24842803466632,22.95476215145108,57.00385792741207,8.040859152547513,0.7395178603095522,0.21245025001822068,0.6841731106863453,0.7335433733745034,0.5535826189961318,0.6171035045864485
